MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58967.227049,g,18.608,0.103,positive,,
58965.232292,g,18.456,0.101,positive,,
58963.311748,g,18.6,0.092,positive,,
58962.232974,g,18.439,0.077,positive,,
58955.300162,g,18.308,0.07,positive,,
58954.298067,g,18.284,0.067,positive,,
58941.45662,g,20.032,,limit,,
58940.393982,g,17.759,0.068,positive,,
58939.337685,g,17.873,0.069,positive,,
58936.289768,g,17.69,0.051,positive,,
58915.444468,g,17.179,0.042,positive,,
58914.424745,g,17.244,0.046,positive,,
58913.330891,g,17.102,0.042,positive,,
58911.399387,g,17.165,0.044,positive,,
58908.340926,g,17.035,0.049,positive,,
58908.340926,g,17.035,0.049,positive,,
58906.333831,g,16.945,0.038,positive,,
58905.307396,g,16.962,0.043,positive,,
58904.458808,g,16.972,0.049,positive,,
58903.356863,g,16.925,0.036,positive,,
58899.400116,g,16.916,0.037,positive,,
58898.419491,g,16.893,0.036,positive,,
58895.384074,g,16.816,0.028,positive,,
58892.380914,g,16.766,0.035,positive,,
58887.425776,g,16.608,0.043,positive,,
58884.442303,g,16.491,0.033,positive,,
58881.461458,g,16.326,0.026,positive,,
58878.486551,g,16.039,0.024,positive,,
58875.456991,g,15.676,0.025,positive,,
58871.442685,g,15.03,0.024,positive,,
58867.440336,g,14.3,0.03,positive,,
58859.52228,g,14.916,0.028,positive,,
58849.50318,g,20.552,,limit,,
58846.54618,g,20.481,,limit,,
58837.54682,g,19.624,,limit,,
58833.56535,g,18.858,,limit,,
58831.54847,g,19.444,,limit,,
58828.54782,g,19.201,,limit,,
